variable,setting,repeat,seed,operations,warmup_operations,keys,read_percent,write_percent,delete_percent,key_distribution,zipf_theta,min_value_size,max_value_size,sync_mode,sync_interval,memory_budget_bytes,memtable_size_bytes,block_cache_capacity_bytes,bloom_bits_per_key,bloom_hash_count,bloom_memory_bytes,total_memory_bytes,reads,writes,deletes,elapsed_ns,throughput_ops_per_second,read_p50_ns,read_p99_ns,read_p999_ns,write_p50_ns,write_p99_ns,write_p999_ns,delete_p50_ns,delete_p99_ns,delete_p999_ns,wal_bytes_written,sstable_bytes_written,user_bytes_written,write_amplification,live_data_bytes,sstable_size_bytes,space_amplification,cache_hits,cache_misses,cache_hit_rate,compaction_count,compaction_bytes_read,compaction_bytes_written
bloom,2,1,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,16777216,50206257,2,1,125391,67108864,474894,20016,5090,8048958261,62119.84008199841,8648,189491,284641,24018,63500,107377,12399,44119,72289,6198564,6048478,5701534,2.1480257769224913,138799152,153485324,1.10580880205954,387836,55782,0.8742566802970123,0,0,0
bloom,2,2,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,16777216,50206257,2,1,125391,67108864,474894,20016,5090,8121834199,61562.4485490682,8437,196339,286472,24089,59476,99238,12511,38413,63407,6198564,6048478,5701534,2.1480257769224913,138799152,153485324,1.10580880205954,387836,55782,0.8742566802970123,0,0,0
bloom,2,3,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,16777216,50206257,2,1,125391,67108864,474894,20016,5090,7796941522,64127.70938312034,7581,197256,285866,23481,55914,92197,11906,35459,72507,6198564,6048478,5701534,2.1480257769224913,138799152,153485324,1.10580880205954,387836,55782,0.8742566802970123,0,0,0
bloom,6,1,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,16777216,49955476,6,4,376172,67108864,474894,20016,5090,6857606755,72911.73405874307,7256,188750,271248,23380,60780,93810,11847,34691,68845,6198564,6054188,5701534,2.1490272617860384,138799152,153741815,1.107656731216917,193585,56020,0.7755653933214479,0,0,0
bloom,6,2,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,16777216,49955476,6,4,376172,67108864,474894,20016,5090,7448213865,67130.1883998735,8453,197818,312714,24117,63072,98993,12526,41067,65102,6198564,6054188,5701534,2.1490272617860384,138799152,153741815,1.107656731216917,193585,56020,0.7755653933214479,0,0,0
bloom,6,3,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,16777216,49955476,6,4,376172,67108864,474894,20016,5090,6457096732,77434.18145218519,6481,187842,263328,22352,61573,87806,10957,34728,57305,6198564,6054188,5701534,2.1490272617860384,138799152,153741815,1.107656731216917,193585,56020,0.7755653933214479,0,0,0
bloom,10,1,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,16777216,49704695,10,7,626953,67108864,474894,20016,5090,6965704663,71780.24682210102,7734,189126,285433,23443,58106,103340,11819,34726,71523,6198564,6059899,5701534,2.1500289220409807,138799152,153998307,1.1095046675789488,171356,56269,0.7527995606809446,0,0,0
bloom,10,2,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,16777216,49704695,10,7,626953,67108864,474894,20016,5090,6650442922,75182.96237773499,7134,191721,277069,22543,55214,97692,11217,32467,71005,6198564,6059899,5701534,2.1500289220409807,138799152,153998307,1.1095046675789488,171356,56269,0.7527995606809446,0,0,0
bloom,10,3,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,16777216,49704695,10,7,626953,67108864,474894,20016,5090,7135082607,70076.27347011596,8349,192006,294071,23690,60860,107320,12159,38722,69070,6198564,6059899,5701534,2.1500289220409807,138799152,153998307,1.1095046675789488,171356,56269,0.7527995606809446,0,0,0
bloom,14,1,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,16777216,49453914,14,10,877734,67108864,474894,20016,5090,8280275995,60384.460651060705,9073,221163,387204,24942,70092,141586,13161,48223,83415,6198564,6065609,5701534,2.151030406904528,138799152,154254798,1.1113525967363258,166623,56526,0.7466894317249909,0,0,0
bloom,14,2,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,16777216,49453914,14,10,877734,67108864,474894,20016,5090,6912016093,72337.79454106951,7399,190899,286122,23372,58268,95362,11796,32583,53444,6198564,6065609,5701534,2.151030406904528,138799152,154254798,1.1113525967363258,166623,56526,0.7466894317249909,0,0,0
bloom,14,3,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,16777216,49453914,14,10,877734,67108864,474894,20016,5090,6867900759,72802.44976527624,7304,191840,281320,23278,54376,91244,11845,32991,63781,6198564,6065609,5701534,2.151030406904528,138799152,154254798,1.1113525967363258,166623,56526,0.7466894317249909,0,0,0
memtable,4.0,1,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,4194304,62287622,10,7,626938,67108864,474894,20016,5090,6562312064,76192.6581856623,8013,173708,280593,21840,55391,91544,10622,31979,80121,6198564,6061236,5701534,2.15026342033565,138799152,153772726,1.1078794343066303,209208,47529,0.8148728075812991,0,0,0
